assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_002208985.1	PRJNA224116	SAMN06173300	na	na	na	na	545	545	Citrobacter koseri	strain=FDAARGOS_287	na	latest	Complete Genome	Major	Full	2018-03-06	ASM220898v3		GCA_002208985.3	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/208/985/GCF_002208985.1_ASM220898v3	./Development/ThreeFold/data/external/Citrobacter/GCF_002208985.1_ASM220898v3_genomic.fna.gz
GCF_002393245.1	PRJNA224116	SAMN07312437	na	na	na	na	545	545	Citrobacter koseri	strain=FDAARGOS_393	na	latest	Complete Genome	Major	Full	2017-09-28	ASM239324v1		GCA_002393245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/393/245/GCF_002393245.1_ASM239324v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002393245.1_ASM239324v1_genomic.fna.gz
GCF_002947035.1	PRJNA224116	SAMN04014866	na	na	na	na	545	545	Citrobacter koseri	strain=AR_0025	na	latest	Complete Genome	Major	Full	2018-02-18	ASM294703v1		GCA_002947035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/035/GCF_002947035.1_ASM294703v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002947035.1_ASM294703v1_genomic.fna.gz
GCF_002947675.1	PRJNA224116	SAMN04014865	na	na	na	na	545	545	Citrobacter koseri	strain=AR_0024	na	latest	Complete Genome	Major	Full	2018-02-18	ASM294767v1		GCA_002947675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/947/675/GCF_002947675.1_ASM294767v1	./Development/ThreeFold/data/external/Citrobacter/GCF_002947675.1_ASM294767v1_genomic.fna.gz
GCF_003812405.1	PRJNA224116	SAMN10163225	na	na	na	na	545	545	Citrobacter koseri	strain=FDAARGOS_530	na	latest	Complete Genome	Major	Full	2018-11-21	ASM381240v1		GCA_003812405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/405/GCF_003812405.1_ASM381240v1	./Development/ThreeFold/data/external/Citrobacter/GCF_003812405.1_ASM381240v1_genomic.fna.gz
GCF_008693945.1	PRJNA224116	SAMN11056361	na	na	na	na	545	545	Citrobacter koseri	strain=FDAARGOS_646	na	latest	Complete Genome	Major	Full	2019-09-25	ASM869394v1		GCA_008693945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/945/GCF_008693945.1_ASM869394v1	./Development/ThreeFold/data/external/Citrobacter/GCF_008693945.1_ASM869394v1_genomic.fna.gz
GCF_014679775.1	PRJNA224116	SAMD00244769	na	na	na	na	545	545	Citrobacter koseri	strain=MPUCK001	na	latest	Complete Genome	Major	Full	2020-09-15	ASM1467977v1		GCA_014679775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/679/775/GCF_014679775.1_ASM1467977v1	./Development/ThreeFold/data/external/Citrobacter/GCF_014679775.1_ASM1467977v1_genomic.fna.gz
GCF_016128275.1	PRJNA224116	SAMN16357198	na	na	na	na	545	545	Citrobacter koseri	strain=FDAARGOS_1029	na	latest	Complete Genome	Major	Full	2020-12-20	ASM1612827v1		GCA_016128275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/128/275/GCF_016128275.1_ASM1612827v1	./Development/ThreeFold/data/external/Citrobacter/GCF_016128275.1_ASM1612827v1_genomic.fna.gz
GCF_019443705.1	PRJNA224116	SAMN14371231	na	na	na	na	545	545	Citrobacter koseri	strain=NJ	na	latest	Complete Genome	Major	Full	2021-08-03	ASM1944370v1		GCA_019443705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/443/705/GCF_019443705.1_ASM1944370v1	./Development/ThreeFold/data/external/Citrobacter/GCF_019443705.1_ASM1944370v1_genomic.fna.gz
GCF_022846555.1	PRJNA224116	SAMD00441895	na	na	na	na	545	545	Citrobacter koseri	strain=TUM13189	na	latest	Complete Genome	Major	Full	2022-03-15	ASM2284655v1		GCA_022846555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/846/555/GCF_022846555.1_ASM2284655v1	./Development/ThreeFold/data/external/Citrobacter/GCF_022846555.1_ASM2284655v1_genomic.fna.gz
