assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000770155.1	PRJNA224116	SAMN03005138	na	na	na	na	550	550	Enterobacter cloacae	strain=GGT036	na	latest	Complete Genome	Major	Full	2014-10-31	ASM77015v1		GCA_000770155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/770/155/GCF_000770155.1_ASM77015v1	./Development/ThreeFold/data/external/Enterobacter/GCF_000770155.1_ASM77015v1_genomic.fna.gz
GCF_002303275.1	PRJNA224116	SAMN05831100	na	na	na	na	550	550	Enterobacter cloacae	strain=M12X01451	na	latest	Complete Genome	Major	Full	2017-08-01	ASM230327v1		GCA_002303275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/303/275/GCF_002303275.1_ASM230327v1	./Development/ThreeFold/data/external/Enterobacter/GCF_002303275.1_ASM230327v1_genomic.fna.gz
GCF_002982195.1	PRJNA224116	SAMN06448868	na	na	na	na	550	550	Enterobacter cloacae	strain=PIMB10EC27	na	latest	Complete Genome	Major	Full	2018-03-08	ASM298219v1		GCA_002982195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/982/195/GCF_002982195.1_ASM298219v1	./Development/ThreeFold/data/external/Enterobacter/GCF_002982195.1_ASM298219v1_genomic.fna.gz
GCF_004193715.1	PRJNA224116	SAMN10872819	na	na	na	na	550	550	Enterobacter cloacae	strain=CZ-1	na	latest	Complete Genome	Major	Full	2019-02-13	ASM419371v1		GCA_004193715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/193/715/GCF_004193715.1_ASM419371v1	./Development/ThreeFold/data/external/Enterobacter/GCF_004193715.1_ASM419371v1_genomic.fna.gz
GCF_009707405.1	PRJNA224116	SAMN13288306	na	na	na	na	550	550	Enterobacter cloacae	strain=CBG15936	na	latest	Complete Genome	Major	Full	2019-11-24	ASM970740v1		GCA_009707405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/707/405/GCF_009707405.1_ASM970740v1	./Development/ThreeFold/data/external/Enterobacter/GCF_009707405.1_ASM970740v1_genomic.fna.gz
GCF_013376815.1	PRJNA224116	SAMN15299128	na	na	na	assembly from type material	550	550	Enterobacter cloacae	strain=DSM 30054	na	latest	Complete Genome	Major	Full	2020-06-30	ASM1337681v1		GCA_013376815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/376/815/GCF_013376815.1_ASM1337681v1	./Development/ThreeFold/data/external/Enterobacter/GCF_013376815.1_ASM1337681v1_genomic.fna.gz
GCF_014169295.1	PRJNA224116	SAMD00194526	na	na	na	na	550	550	Enterobacter cloacae	strain=WP5-S18-CRE-02	na	latest	Complete Genome	Major	Full	2020-07-21	ASM1416929v1		GCA_014169295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/295/GCF_014169295.1_ASM1416929v1	./Development/ThreeFold/data/external/Enterobacter/GCF_014169295.1_ASM1416929v1_genomic.fna.gz
GCF_016864115.1	PRJNA224116	SAMN12999973	na	na	na	na	550	550	Enterobacter cloacae	strain=14240244101	na	latest	Complete Genome	Major	Full	2021-02-11	ASM1686411v1		GCA_016864115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/864/115/GCF_016864115.1_ASM1686411v1	./Development/ThreeFold/data/external/Enterobacter/GCF_016864115.1_ASM1686411v1_genomic.fna.gz
GCF_018140965.1	PRJNA224116	SAMN18753389	na	na	na	na	550	550	Enterobacter cloacae	strain=CZ862	na	latest	Complete Genome	Major	Full	2021-04-27	ASM1814096v1		GCA_018140965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/140/965/GCF_018140965.1_ASM1814096v1	./Development/ThreeFold/data/external/Enterobacter/GCF_018140965.1_ASM1814096v1_genomic.fna.gz
GCF_019047105.1	PRJNA224116	SAMN16357573	na	na	na	assembly from type material	550	550	Enterobacter cloacae	strain=FDAARGOS 1431	na	latest	Complete Genome	Major	Full	2021-06-28	ASM1904710v1		GCA_019047105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/047/105/GCF_019047105.1_ASM1904710v1	./Development/ThreeFold/data/external/Enterobacter/GCF_019047105.1_ASM1904710v1_genomic.fna.gz
