assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000597845.1	PRJNA224116	SAMN02647163	na	na	na	na	562	562	Escherichia coli	strain=ST540	na	latest	Complete Genome	Major	Full	2014-03-19	ASM59784v1		GCA_000597845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/597/845/GCF_000597845.1_ASM59784v1	./../Escherichia/GCF_000597845.1_ASM59784v1_genomic.fna.gz
GCF_000599625.1	PRJNA224116	SAMN02666434	na	na	na	na	562	562	Escherichia coli	strain=ST540	na	latest	Complete Genome	Major	Full	2014-03-19	ASM59962v1		GCA_000599625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/625/GCF_000599625.1_ASM59962v1	./../Escherichia/GCF_000599625.1_ASM59962v1_genomic.fna.gz
GCF_000599645.1	PRJNA224116	SAMN02666695	na	na	na	na	562	562	Escherichia coli	strain=ST540	na	latest	Complete Genome	Major	Full	2014-03-19	ASM59964v1		GCA_000599645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/645/GCF_000599645.1_ASM59964v1	./../Escherichia/GCF_000599645.1_ASM59964v1_genomic.fna.gz
GCF_000599665.1	PRJNA224116	SAMN02666696	na	na	na	na	562	562	Escherichia coli	strain=ST2747	na	latest	Complete Genome	Major	Full	2014-03-19	ASM59966v1		GCA_000599665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/665/GCF_000599665.1_ASM59966v1	./../Escherichia/GCF_000599665.1_ASM59966v1_genomic.fna.gz
GCF_000599685.1	PRJNA224116	SAMN02666697	na	na	na	na	562	562	Escherichia coli	strain=ST2747	na	latest	Complete Genome	Major	Full	2014-03-19	ASM59968v1		GCA_000599685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/685/GCF_000599685.1_ASM59968v1	./../Escherichia/GCF_000599685.1_ASM59968v1_genomic.fna.gz
GCF_000599705.1	PRJNA224116	SAMN02666698	na	na	na	na	562	562	Escherichia coli	strain=ST2747	na	latest	Complete Genome	Major	Full	2014-03-19	ASM59970v1		GCA_000599705.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/599/705/GCF_000599705.1_ASM59970v1	./../Escherichia/GCF_000599705.1_ASM59970v1_genomic.fna.gz
GCF_000784925.1	PRJNA224116	SAMN02709589	na	na	na	na	562	562	Escherichia coli	strain=ECONIH1	na	latest	Complete Genome	Major	Full	2014-11-17	ASM78492v1		GCA_000784925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/925/GCF_000784925.1_ASM78492v1	./../Escherichia/GCF_000784925.1_ASM78492v1_genomic.fna.gz
GCF_000801165.1	PRJNA224116	SAMN03264844	na	na	na	na	562	562	Escherichia coli	strain=RM9387	na	latest	Complete Genome	Major	Full	2014-12-15	ASM80116v1		GCA_000801165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/165/GCF_000801165.1_ASM80116v1	./../Escherichia/GCF_000801165.1_ASM80116v1_genomic.fna.gz
GCF_000801185.2	PRJNA224116	SAMN03262652	na	na	na	na	562	562	Escherichia coli	strain=94-3024	na	latest	Complete Genome	Major	Full	2015-06-18	ASM80118v2		GCA_000801185.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/801/185/GCF_000801185.2_ASM80118v2	./../Escherichia/GCF_000801185.2_ASM80118v2_genomic.fna.gz
GCF_000814145.2	PRJNA224116	SAMN03263950	na	na	na	na	562	562	Escherichia coli	strain=6409	na	latest	Complete Genome	Major	Full	2015-02-27	ASM81414v2		GCA_000814145.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/814/145/GCF_000814145.2_ASM81414v2	./../Escherichia/GCF_000814145.2_ASM81414v2_genomic.fna.gz
