assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_001021995.1	PRJNA224116	SAMN03733745	na	na	na	na	548	548	Klebsiella aerogenes	strain=CAV1320	na	latest	Complete Genome	Major	Full	2015-06-09	ASM102199v1		GCA_001021995.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/995/GCF_001021995.1_ASM102199v1	./Klebsiella/GCF_001021995.1_ASM102199v1_genomic.fna.gz
GCF_001559215.2	PRJNA224116	SAMN03996296	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS_152	na	latest	Complete Genome	Major	Full	2018-02-05	ASM155921v2		GCA_001559215.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/215/GCF_001559215.2_ASM155921v2	./Klebsiella/GCF_001559215.2_ASM155921v2_genomic.fna.gz
GCF_001571545.2	PRJNA224116	SAMN03448049	na	na	na	na	548	548	Klebsiella aerogenes	strain=G7	na	latest	Complete Genome	Major	Full	2016-03-11	ASM157154v2		GCA_001571545.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/571/545/GCF_001571545.2_ASM157154v2	./Klebsiella/GCF_001571545.2_ASM157154v2_genomic.fna.gz
GCF_001593585.2	PRJNA224116	SAMN03996283	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS_139	na	latest	Complete Genome	Major	Full	2018-02-05	ASM159358v2		GCA_001593585.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/593/585/GCF_001593585.2_ASM159358v2	./Klebsiella/GCF_001593585.2_ASM159358v2_genomic.fna.gz
GCF_002591115.1	PRJNA224116	SAMN07312407	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS_363	na	latest	Complete Genome	Major	Full	2017-10-18	ASM259111v1		GCA_002591115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/591/115/GCF_002591115.1_ASM259111v1	./Klebsiella/GCF_002591115.1_ASM259111v1_genomic.fna.gz
GCF_002796405.1	PRJNA224116	SAMN04014859	na	na	na	na	548	548	Klebsiella aerogenes	strain=AR_0018	na	latest	Complete Genome	Major	Full	2017-11-27	ASM279640v1		GCA_002796405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/405/GCF_002796405.1_ASM279640v1	./Klebsiella/GCF_002796405.1_ASM279640v1_genomic.fna.gz
GCF_002796425.1	PRJNA224116	SAMN04014848	na	na	na	na	548	548	Klebsiella aerogenes	strain=AR_0007	na	latest	Complete Genome	Major	Full	2017-11-27	ASM279642v1		GCA_002796425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/425/GCF_002796425.1_ASM279642v1	./Klebsiella/GCF_002796425.1_ASM279642v1_genomic.fna.gz
GCF_002796525.1	PRJNA224116	SAMN04014850	na	na	na	na	548	548	Klebsiella aerogenes	strain=AR_0009	na	latest	Complete Genome	Major	Full	2017-11-27	ASM279652v1		GCA_002796525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/796/525/GCF_002796525.1_ASM279652v1	./Klebsiella/GCF_002796525.1_ASM279652v1_genomic.fna.gz
GCF_002948835.2	PRJNA224116	SAMN04014903	na	na	na	na	548	548	Klebsiella aerogenes	strain=AR_0062	na	latest	Complete Genome	Major	Full	2018-10-18	ASM294883v2		GCA_002948835.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/948/835/GCF_002948835.2_ASM294883v2	./Klebsiella/GCF_002948835.2_ASM294883v2_genomic.fna.gz
GCF_003546885.1	PRJNA224116	SAMN06173340	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS_327	na	latest	Complete Genome	Major	Full	2018-09-11	ASM354688v1		GCA_003546885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/546/885/GCF_003546885.1_ASM354688v1	./Klebsiella/GCF_003546885.1_ASM354688v1_genomic.fna.gz
GCF_003812185.1	PRJNA224116	SAMN10163207	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS_513	na	latest	Complete Genome	Major	Full	2018-11-21	ASM381218v1		GCA_003812185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/812/185/GCF_003812185.1_ASM381218v1	./Klebsiella/GCF_003812185.1_ASM381218v1_genomic.fna.gz
GCF_006874725.1	PRJNA224116	SAMN10788268	na	na	na	na	548	548	Klebsiella aerogenes	strain=LU2	na	latest	Complete Genome	Major	Full	2019-07-11	ASM687472v1		GCA_006874725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/874/725/GCF_006874725.1_ASM687472v1	./Klebsiella/GCF_006874725.1_ASM687472v1_genomic.fna.gz
GCF_007632255.1	PRJNA224116	SAMN12330869	na	na	na	na	548	548	Klebsiella aerogenes	strain=Ka37751	na	latest	Complete Genome	Major	Full	2019-07-30	ASM763225v1		GCA_007632255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/632/255/GCF_007632255.1_ASM763225v1	./Klebsiella/GCF_007632255.1_ASM763225v1_genomic.fna.gz
GCF_008693885.1	PRJNA224116	SAMN11056356	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS_641	na	latest	Complete Genome	Major	Full	2019-09-25	ASM869388v1		GCA_008693885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/693/885/GCF_008693885.1_ASM869388v1	./Klebsiella/GCF_008693885.1_ASM869388v1_genomic.fna.gz
GCF_008727695.1	PRJNA224116	SAMN12807522	na	na	na	na	548	548	Klebsiella aerogenes	strain=KA_P10_L5_03.19	na	latest	Complete Genome	Major	Full	2019-09-29	ASM872769v1		GCA_008727695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/727/695/GCF_008727695.1_ASM872769v1	./Klebsiella/GCF_008727695.1_ASM872769v1_genomic.fna.gz
GCF_008931665.1	PRJNA224116	SAMN12289361	na	na	na	na	548	548	Klebsiella aerogenes	strain=C9	na	latest	Complete Genome	Major	Full	2019-10-09	ASM893166v1		GCA_008931665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/931/665/GCF_008931665.1_ASM893166v1	./Klebsiella/GCF_008931665.1_ASM893166v1_genomic.fna.gz
GCF_009732795.1	PRJNA224116	SAMN12877719	na	na	na	na	548	548	Klebsiella aerogenes	strain=Y6	na	latest	Complete Genome	Major	Full	2019-12-05	ASM973279v1		GCA_009732795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/732/795/GCF_009732795.1_ASM973279v1	./Klebsiella/GCF_009732795.1_ASM973279v1_genomic.fna.gz
GCF_009732815.1	PRJNA224116	SAMN12877718	na	na	na	na	548	548	Klebsiella aerogenes	strain=Y3	na	latest	Complete Genome	Major	Full	2019-12-05	ASM973281v1		GCA_009732815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/732/815/GCF_009732815.1_ASM973281v1	./Klebsiella/GCF_009732815.1_ASM973281v1_genomic.fna.gz
GCF_009732835.1	PRJNA224116	SAMN12877717	na	na	na	na	548	548	Klebsiella aerogenes	strain=Y1	na	latest	Complete Genome	Major	Full	2019-12-05	ASM973283v1		GCA_009732835.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/732/835/GCF_009732835.1_ASM973283v1	./Klebsiella/GCF_009732835.1_ASM973283v1_genomic.fna.gz
GCF_009909445.1	PRJNA224116	SAMN13829509	na	na	na	na	548	548	Klebsiella aerogenes	strain=HNHF1	na	latest	Complete Genome	Major	Full	2020-01-21	ASM990944v1		GCA_009909445.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/909/445/GCF_009909445.1_ASM990944v1	./Klebsiella/GCF_009909445.1_ASM990944v1_genomic.fna.gz
GCF_010509815.1	PRJNA224116	SAMN12881488	na	na	na	na	548	548	Klebsiella aerogenes	strain=AUH-KAM-9	na	latest	Complete Genome	Major	Full	2020-02-13	ASM1050981v1		GCA_010509815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/509/815/GCF_010509815.1_ASM1050981v1	./Klebsiella/GCF_010509815.1_ASM1050981v1_genomic.fna.gz
GCF_011067245.1	PRJNA224116	SAMN14249374	na	na	na	na	548	548	Klebsiella aerogenes	strain=18-2341	na	latest	Complete Genome	Major	Full	2020-03-08	ASM1106724v1		GCA_011067245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/067/245/GCF_011067245.1_ASM1106724v1	./Klebsiella/GCF_011067245.1_ASM1106724v1_genomic.fna.gz
GCF_011604725.1	PRJNA224116	SAMN14372988	na	na	na	na	548	548	Klebsiella aerogenes	strain=035	na	latest	Complete Genome	Major	Full	2020-03-22	ASM1160472v1		GCA_011604725.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/604/725/GCF_011604725.1_ASM1160472v1	./Klebsiella/GCF_011604725.1_ASM1160472v1_genomic.fna.gz
GCF_013403435.2	PRJNA224116	SAMN15344675	na	na	na	na	548	548	Klebsiella aerogenes	strain=IIIF7SW-P1	na	latest	Complete Genome	Major	Full	2023-06-14	ASM1340343v2		GCA_013403435.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/403/435/GCF_013403435.2_ASM1340343v2	./Klebsiella/GCF_013403435.2_ASM1340343v2_genomic.fna.gz
GCF_013727635.1	PRJNA224116	SAMN15148733	na	na	na	na	548	548	Klebsiella aerogenes	strain=RHBSTW-00898	na	latest	Complete Genome	Major	Full	2020-07-27	ASM1372763v1		GCA_013727635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/727/635/GCF_013727635.1_ASM1372763v1	./Klebsiella/GCF_013727635.1_ASM1372763v1_genomic.fna.gz
GCF_014169215.1	PRJNA224116	SAMD00194509	na	na	na	na	548	548	Klebsiella aerogenes	strain=WP5-W18-CRE-01	na	latest	Complete Genome	Major	Full	2020-07-21	ASM1416921v1		GCA_014169215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/169/215/GCF_014169215.1_ASM1416921v1	./Klebsiella/GCF_014169215.1_ASM1416921v1_genomic.fna.gz
GCF_016939495.1	PRJNA224116	SAMN16933261	na	na	na	na	548	548	Klebsiella aerogenes	strain=EA46506	na	latest	Complete Genome	Major	Full	2021-02-25	ASM1693949v1		GCA_016939495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/939/495/GCF_016939495.1_ASM1693949v1	./Klebsiella/GCF_016939495.1_ASM1693949v1_genomic.fna.gz
GCF_019047925.1	PRJNA224116	SAMN16357583	na	na	na	na	548	548	Klebsiella aerogenes	strain=FDAARGOS 1441	na	latest	Complete Genome	Major	Full	2021-06-28	ASM1904792v1		GCA_019047925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/047/925/GCF_019047925.1_ASM1904792v1	./Klebsiella/GCF_019047925.1_ASM1904792v1_genomic.fna.gz
GCF_019048125.1	PRJNA224116	SAMN16357584	na	na	reference genome	assembly from type material	548	548	Klebsiella aerogenes	strain=FDAARGOS 1442	na	latest	Complete Genome	Major	Full	2021-06-28	ASM1904812v1		GCA_019048125.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/048/125/GCF_019048125.1_ASM1904812v1	./Klebsiella/GCF_019048125.1_ASM1904812v1_genomic.fna.gz
GCF_019048885.1	PRJNA224116	SAMN19778273	na	na	na	na	548	548	Klebsiella aerogenes	strain=NTT31XS	na	latest	Complete Genome	Major	Full	2021-06-28	ASM1904888v1		GCA_019048885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/048/885/GCF_019048885.1_ASM1904888v1	./Klebsiella/GCF_019048885.1_ASM1904888v1_genomic.fna.gz
