assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000783575.2	PRJNA224116	SAMN02934536	na	na	na	na	584	584	Proteus mirabilis	strain=FDAARGOS_81	na	latest	Complete Genome	Major	Full	2018-01-29	ASM78357v2		GCA_000783575.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/575/GCF_000783575.2_ASM78357v2	./../Proteus/GCF_000783575.2_ASM78357v2_genomic.fna.gz
GCF_000783595.2	PRJNA224116	SAMN02934535	na	na	na	na	584	584	Proteus mirabilis	strain=FDAARGOS_80	na	latest	Complete Genome	Major	Full	2018-01-30	ASM78359v2		GCA_000783595.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/595/GCF_000783595.2_ASM78359v2	./../Proteus/GCF_000783595.2_ASM78359v2_genomic.fna.gz
GCF_000783875.2	PRJNA224116	SAMN02934516	na	na	na	na	584	584	Proteus mirabilis	strain=FDAARGOS_67	na	latest	Complete Genome	Major	Full	2018-02-13	ASM78387v2		GCA_000783875.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/875/GCF_000783875.2_ASM78387v2	./../Proteus/GCF_000783875.2_ASM78387v2_genomic.fna.gz
GCF_000784015.2	PRJNA224116	SAMN02934509	na	na	na	na	584	584	Proteus mirabilis	strain=FDAARGOS_60	na	latest	Complete Genome	Major	Full	2018-01-29	ASM78401v2		GCA_000784015.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/784/015/GCF_000784015.2_ASM78401v2	./../Proteus/GCF_000784015.2_ASM78401v2_genomic.fna.gz
GCF_001281545.1	PRJNA224116	SAMN03968924	na	na	na	na	584	584	Proteus mirabilis	strain=CYPM1	na	latest	Complete Genome	Major	Full	2015-09-15	ASM128154v1		GCA_001281545.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/545/GCF_001281545.1_ASM128154v1	./../Proteus/GCF_001281545.1_ASM128154v1_genomic.fna.gz
GCF_001281565.1	PRJNA224116	SAMN03968923	na	na	na	na	584	584	Proteus mirabilis	strain=CYPV1	na	latest	Complete Genome	Major	Full	2015-09-15	ASM128156v1		GCA_001281565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/565/GCF_001281565.1_ASM128156v1	./../Proteus/GCF_001281565.1_ASM128156v1_genomic.fna.gz
GCF_001640985.1	PRJNA224116	SAMN04849770	na	na	na	na	584	584	Proteus mirabilis	strain=AOUC-001	na	latest	Complete Genome	Major	Full	2016-05-09	ASM164098v1		GCA_001640985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/640/985/GCF_001640985.1_ASM164098v1	./../Proteus/GCF_001640985.1_ASM164098v1_genomic.fna.gz
GCF_002055685.1	PRJNA224116	SAMN04014900	na	na	na	na	584	584	Proteus mirabilis	strain=AR_0059	na	latest	Complete Genome	Major	Full	2017-03-21	ASM205568v1		GCA_002055685.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/055/685/GCF_002055685.1_ASM205568v1	./../Proteus/GCF_002055685.1_ASM205568v1_genomic.fna.gz
GCF_002180115.1	PRJNA224116	SAMN04015000	na	na	na	na	584	584	Proteus mirabilis	strain=AR_0159	na	latest	Complete Genome	Major	Full	2017-06-08	ASM218011v1		GCA_002180115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/180/115/GCF_002180115.1_ASM218011v1	./../Proteus/GCF_002180115.1_ASM218011v1_genomic.fna.gz
GCF_002180235.1	PRJNA224116	SAMN04014996	na	na	na	na	584	584	Proteus mirabilis	strain=AR_0155	na	latest	Complete Genome	Major	Full	2017-06-08	ASM218023v1		GCA_002180235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/180/235/GCF_002180235.1_ASM218023v1	./../Proteus/GCF_002180235.1_ASM218023v1_genomic.fna.gz
