assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000783935.2	PRJNA224116	SAMN02934513	na	na	reference genome	na	575	575	Raoultella planticola	strain=FDAARGOS_64	na	latest	Complete Genome	Major	Full	2018-01-30	ASM78393v2		GCA_000783935.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/935/GCF_000783935.2_ASM78393v2	./Raoultella/GCF_000783935.2_ASM78393v2_genomic.fna.gz
GCF_008694045.1	PRJNA224116	SAMN12780943	na	na	na	na	575	575	Raoultella planticola	strain=S25	na	latest	Complete Genome	Major	Full	2019-09-25	ASM869404v1		GCA_008694045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/694/045/GCF_008694045.1_ASM869404v1	./Raoultella/GCF_008694045.1_ASM869404v1_genomic.fna.gz
GCF_011290675.2	PRJNA224116	SAMN14258342	na	na	na	na	575	575	Raoultella planticola	strain=HH15	na	latest	Complete Genome	Major	Full	2021-02-22	ASM1129067v2		GCA_011290675.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/290/675/GCF_011290675.2_ASM1129067v2	./Raoultella/GCF_011290675.2_ASM1129067v2_genomic.fna.gz
GCF_013462275.1	PRJNA224116	SAMN11603266	na	na	na	na	575	575	Raoultella planticola	strain=Rp_CZ180511	na	latest	Complete Genome	Major	Full	2020-07-22	ASM1346227v1		GCA_013462275.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/462/275/GCF_013462275.1_ASM1346227v1	./Raoultella/GCF_013462275.1_ASM1346227v1_genomic.fna.gz
GCF_019856295.1	PRJNA224116	SAMN20966583	na	na	na	na	575	575	Raoultella planticola	strain=SCLZS62	na	latest	Complete Genome	Major	Full	2021-09-02	ASM1985629v1		GCA_019856295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/856/295/GCF_019856295.1_ASM1985629v1	./Raoultella/GCF_019856295.1_ASM1985629v1_genomic.fna.gz
GCF_019968885.1	PRJNA224116	SAMN18916998	na	na	na	na	575	575	Raoultella planticola	strain=JBIWA001	na	latest	Complete Genome	Major	Full	2021-09-14	ASM1996888v1		GCA_019968885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/968/885/GCF_019968885.1_ASM1996888v1	./Raoultella/GCF_019968885.1_ASM1996888v1_genomic.fna.gz
GCF_022637595.1	PRJNA224116	SAMN26520703	na	na	na	na	575	575	Raoultella planticola	strain=A2-F21	na	latest	Complete Genome	Major	Full	2022-03-21	ASM2263759v1		GCA_022637595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/637/595/GCF_022637595.1_ASM2263759v1	./Raoultella/GCF_022637595.1_ASM2263759v1_genomic.fna.gz
GCF_029635815.1	PRJNA224116	SAMN32289991	na	na	na	na	575	575	Raoultella planticola	strain=RP_3045	na	latest	Complete Genome	Major	Full	2023-04-10	ASM2963581v1		GCA_029635815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/635/815/GCF_029635815.1_ASM2963581v1	./Raoultella/GCF_029635815.1_ASM2963581v1_genomic.fna.gz
GCF_033870315.1	PRJNA224116	SAMN38256646	na	na	na	na	575	575	Raoultella planticola	strain=208355	na	latest	Complete Genome	Major	Full	2023-11-21	ASM3387031v1		GCA_033870315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/870/315/GCF_033870315.1_ASM3387031v1	./Raoultella/GCF_033870315.1_ASM3387031v1_genomic.fna.gz
GCF_039519595.1	PRJNA224116	SAMN41050904	na	na	na	na	575	575	Raoultella planticola	strain=zwx	na	latest	Complete Genome	Major	Full	2024-05-08	ASM3951959v1		GCA_039519595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/519/595/GCF_039519595.1_ASM3951959v1	./Raoultella/GCF_039519595.1_ASM3951959v1_genomic.fna.gz
