assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_020023795.1	PRJNA224116	SAMN19866762	na	na	na	na	594	28901	Salmonella enterica subsp. enterica serovar Gallinarum	strain=07Q015	na	latest	Complete Genome	Major	Full	2021-09-17	ASM2002379v1		GCA_020023795.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/023/795/GCF_020023795.1_ASM2002379v1	./Development/ThreeFold/data/external/Salmonella/GCF_020023795.1_ASM2002379v1_genomic.fna.gz
GCF_023518135.1	PRJNA224116	SAMN23378274	na	na	na	na	594	28901	Salmonella enterica subsp. enterica serovar Gallinarum	strain=SCPM-O-B-4493	na	latest	Complete Genome	Major	Full	2022-05-23	ASM2351813v1		GCA_023518135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/518/135/GCF_023518135.1_ASM2351813v1	./Development/ThreeFold/data/external/Salmonella/GCF_023518135.1_ASM2351813v1_genomic.fna.gz
GCF_023518195.1	PRJNA224116	SAMN23378277	na	na	na	na	594	28901	Salmonella enterica subsp. enterica serovar Gallinarum	strain=SCPM-O-B-4548	na	latest	Complete Genome	Major	Full	2022-05-23	ASM2351819v1		GCA_023518195.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/518/195/GCF_023518195.1_ASM2351819v1	./Development/ThreeFold/data/external/Salmonella/GCF_023518195.1_ASM2351819v1_genomic.fna.gz
GCF_032598805.1	PRJNA224116	SAMN32628980	na	na	na	na	594	28901	Salmonella enterica subsp. enterica serovar Gallinarum	strain=SG1	na	latest	Complete Genome	Major	Full	2023-10-12	ASM3259880v1		GCA_032598805.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/598/805/GCF_032598805.1_ASM3259880v1	./Development/ThreeFold/data/external/Salmonella/GCF_032598805.1_ASM3259880v1_genomic.fna.gz
GCF_000806805.2	PRJNA224116	SAMN03079723	na	na	na	na	595	28901	Salmonella enterica subsp. enterica serovar Infantis	strain=CFSAN024778	na	latest	Complete Genome	Major	Full	2021-05-11	ASM80680v2		GCA_000806805.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/806/805/GCF_000806805.2_ASM80680v2	./Development/ThreeFold/data/external/Salmonella/GCF_000806805.2_ASM80680v2_genomic.fna.gz
GCF_000807005.2	PRJNA224116	SAMN03079726	na	na	na	na	595	28901	Salmonella enterica subsp. enterica serovar Infantis	strain=CFSAN024781	na	latest	Complete Genome	Major	Full	2021-05-11	ASM80700v2		GCA_000807005.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/807/005/GCF_000807005.2_ASM80700v2	./Development/ThreeFold/data/external/Salmonella/GCF_000807005.2_ASM80700v2_genomic.fna.gz
GCF_000953495.1	PRJNA224116	SAMEA3106395	na	na	na	na	595	28901	Salmonella enterica subsp. enterica serovar Infantis	strain=1326/28	na	latest	Complete Genome	Major	Full	2014-12-16	SINFA		GCA_000953495.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/953/495/GCF_000953495.1_SINFA	./Development/ThreeFold/data/external/Salmonella/GCF_000953495.1_SINFA_genomic.fna.gz
GCF_001931555.1	PRJNA224116	SAMN04285042	na	na	na	na	595	28901	Salmonella enterica subsp. enterica serovar Infantis	strain=FSIS1502169	na	latest	Complete Genome	Major	Full	2017-01-04	ASM193155v1		GCA_001931555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/555/GCF_001931555.1_ASM193155v1	./Development/ThreeFold/data/external/Salmonella/GCF_001931555.1_ASM193155v1_genomic.fna.gz
GCF_001931575.1	PRJNA224116	SAMN04364590	na	na	na	na	595	28901	Salmonella enterica subsp. enterica serovar Infantis	strain=FSIS1502916	na	latest	Complete Genome	Major	Full	2017-01-04	ASM193157v1		GCA_001931575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/575/GCF_001931575.1_ASM193157v1	./Development/ThreeFold/data/external/Salmonella/GCF_001931575.1_ASM193157v1_genomic.fna.gz
GCF_001931595.1	PRJNA224116	SAMN03988471	na	na	na	na	595	28901	Salmonella enterica subsp. enterica serovar Infantis	strain=N55391	na	latest	Complete Genome	Major	Full	2017-01-04	ASM193159v1		GCA_001931595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/931/595/GCF_001931595.1_ASM193159v1	./Development/ThreeFold/data/external/Salmonella/GCF_001931595.1_ASM193159v1_genomic.fna.gz
