assembly_accession	bioproject	biosample	wgs_master	excluded_from_refseq	refseq_category	relation_to_type_material	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename
GCF_000975245.1	PRJNA224116	SAMN03481691	na	na	na	na	614	614	Serratia liquefaciens	strain=HUMV-21	na	latest	Complete Genome	Major	Full	2015-04-21	ASM97524v1		GCA_000975245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/975/245/GCF_000975245.1_ASM97524v1	./Development/ThreeFold/data/external/Serratia/GCF_000975245.1_ASM97524v1_genomic.fna.gz
GCF_001559135.2	PRJNA224116	SAMN03996271	na	na	na	na	614	614	Serratia liquefaciens	strain=FDAARGOS_125	na	latest	Complete Genome	Major	Full	2018-01-31	ASM155913v2		GCA_001559135.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/559/135/GCF_001559135.2_ASM155913v2	./Development/ThreeFold/data/external/Serratia/GCF_001559135.2_ASM155913v2_genomic.fna.gz
GCF_006970665.1	PRJNA224116	SAMN10413339	na	na	na	na	614	614	Serratia liquefaciens	strain=FG3	na	latest	Complete Genome	Major	Full	2019-07-15	ASM697066v1		GCA_006970665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/970/665/GCF_006970665.1_ASM697066v1	./Development/ThreeFold/data/external/Serratia/GCF_006970665.1_ASM697066v1_genomic.fna.gz
GCF_008364325.2	PRJNA224116	SAMN12560213	na	na	na	na	614	614	Serratia liquefaciens	strain=S1	na	latest	Complete Genome	Major	Full	2020-02-26	ASM836432v2		GCA_008364325.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/364/325/GCF_008364325.2_ASM836432v2	./Development/ThreeFold/data/external/Serratia/GCF_008364325.2_ASM836432v2_genomic.fna.gz
GCF_014495865.1	PRJNA224116	SAMN15934672	na	na	na	na	614	614	Serratia liquefaciens	strain=MT49	na	latest	Complete Genome	Major	Full	2020-09-09	ASM1449586v1		GCA_014495865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/495/865/GCF_014495865.1_ASM1449586v1	./Development/ThreeFold/data/external/Serratia/GCF_014495865.1_ASM1449586v1_genomic.fna.gz
GCF_016728005.1	PRJNA224116	SAMN16357250	na	na	na	na	614	614	Serratia liquefaciens	strain=FDAARGOS_1081	na	latest	Complete Genome	Major	Full	2021-01-20	ASM1672800v1		GCA_016728005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/728/005/GCF_016728005.1_ASM1672800v1	./Development/ThreeFold/data/external/Serratia/GCF_016728005.1_ASM1672800v1_genomic.fna.gz
GCF_000783915.2	PRJNA224116	SAMN02934514	na	na	na	na	615	615	Serratia marcescens	strain=FDAARGOS_65	na	latest	Complete Genome	Major	Full	2018-01-29	ASM78391v2		GCA_000783915.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/783/915/GCF_000783915.2_ASM78391v2	./Development/ThreeFold/data/external/Serratia/GCF_000783915.2_ASM78391v2_genomic.fna.gz
GCF_001022215.1	PRJNA224116	SAMN03733805	na	na	na	na	615	615	Serratia marcescens	strain=CAV1492	na	latest	Complete Genome	Major	Full	2015-06-09	ASM102221v1		GCA_001022215.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/022/215/GCF_001022215.1_ASM102221v1	./Development/ThreeFold/data/external/Serratia/GCF_001022215.1_ASM102221v1_genomic.fna.gz
GCF_001280365.1	PRJNA224116	SAMN04029108	na	na	na	na	615	615	Serratia marcescens	strain=RSC-14	na	latest	Complete Genome	Major	Full	2015-09-09	ASM128036v1		GCA_001280365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/280/365/GCF_001280365.1_ASM128036v1	./Development/ThreeFold/data/external/Serratia/GCF_001280365.1_ASM128036v1_genomic.fna.gz
GCF_001294565.1	PRJNA224116	SAMN03733572	na	na	na	na	615	615	Serratia marcescens	strain=SmUNAM836	na	latest	Complete Genome	Major	Full	2015-09-18	ASM129456v1		GCA_001294565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/294/565/GCF_001294565.1_ASM129456v1	./Development/ThreeFold/data/external/Serratia/GCF_001294565.1_ASM129456v1_genomic.fna.gz
GCF_001417865.2	PRJNA224116	SAMN04214975	na	na	na	na	615	615	Serratia marcescens	strain=B3R3	na	latest	Complete Genome	Major	Full	2017-02-28	ASM141786v2		GCA_001417865.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/865/GCF_001417865.2_ASM141786v2	./Development/ThreeFold/data/external/Serratia/GCF_001417865.2_ASM141786v2_genomic.fna.gz
GCF_002220515.1	PRJNA224116	SAMN06164057	na	na	na	na	615	615	Serratia marcescens	strain=UMH2	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222051v1		GCA_002220515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/515/GCF_002220515.1_ASM222051v1	./Development/ThreeFold/data/external/Serratia/GCF_002220515.1_ASM222051v1_genomic.fna.gz
GCF_002220535.1	PRJNA224116	SAMN06164062	na	na	na	na	615	615	Serratia marcescens	strain=UMH8	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222053v1		GCA_002220535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/535/GCF_002220535.1_ASM222053v1	./Development/ThreeFold/data/external/Serratia/GCF_002220535.1_ASM222053v1_genomic.fna.gz
GCF_002220555.1	PRJNA224116	SAMN06164063	na	na	na	na	615	615	Serratia marcescens	strain=UMH9	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222055v1		GCA_002220555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/555/GCF_002220555.1_ASM222055v1	./Development/ThreeFold/data/external/Serratia/GCF_002220555.1_ASM222055v1_genomic.fna.gz
GCF_002220575.1	PRJNA224116	SAMN06164065	na	na	na	na	615	615	Serratia marcescens	strain=UMH11	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222057v1		GCA_002220575.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/575/GCF_002220575.1_ASM222057v1	./Development/ThreeFold/data/external/Serratia/GCF_002220575.1_ASM222057v1_genomic.fna.gz
GCF_002220595.1	PRJNA224116	SAMN06164066	na	na	na	na	615	615	Serratia marcescens	strain=UMH12	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222059v1		GCA_002220595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/595/GCF_002220595.1_ASM222059v1	./Development/ThreeFold/data/external/Serratia/GCF_002220595.1_ASM222059v1_genomic.fna.gz
GCF_002220615.1	PRJNA224116	SAMN06164056	na	na	na	na	615	615	Serratia marcescens	strain=UMH1	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222061v1		GCA_002220615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/615/GCF_002220615.1_ASM222061v1	./Development/ThreeFold/data/external/Serratia/GCF_002220615.1_ASM222061v1_genomic.fna.gz
GCF_002220635.1	PRJNA224116	SAMN06164059	na	na	na	na	615	615	Serratia marcescens	strain=UMH5	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222063v1		GCA_002220635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/635/GCF_002220635.1_ASM222063v1	./Development/ThreeFold/data/external/Serratia/GCF_002220635.1_ASM222063v1_genomic.fna.gz
GCF_002220655.1	PRJNA224116	SAMN06164058	na	na	na	na	615	615	Serratia marcescens	strain=UMH3	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222065v1		GCA_002220655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/655/GCF_002220655.1_ASM222065v1	./Development/ThreeFold/data/external/Serratia/GCF_002220655.1_ASM222065v1_genomic.fna.gz
GCF_002220675.1	PRJNA224116	SAMN06164060	na	na	na	na	615	615	Serratia marcescens	strain=UMH6	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222067v1		GCA_002220675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/675/GCF_002220675.1_ASM222067v1	./Development/ThreeFold/data/external/Serratia/GCF_002220675.1_ASM222067v1_genomic.fna.gz
GCF_002220695.1	PRJNA224116	SAMN06164064	na	na	na	na	615	615	Serratia marcescens	strain=UMH10	na	latest	Complete Genome	Major	Full	2017-07-18	ASM222069v1		GCA_002220695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/695/GCF_002220695.1_ASM222069v1	./Development/ThreeFold/data/external/Serratia/GCF_002220695.1_ASM222069v1_genomic.fna.gz
